Date,Open,High,Low,Close,Volume,Adj.Close
2015-04-06,3.03,3.10,3.02,3.02,157800,3.02
2015-04-03,3.03,3.03,3.03,3.03,000,3.03
2015-04-02,3.00,3.05,2.99,3.03,115700,3.03
2015-04-01,3.00,3.00,2.95,3.00,366700,3.00
2015-03-31,3.02,3.02,2.97,2.98,820400,2.98
2015-03-30,3.03,3.03,2.99,3.00,103600,3.00
2015-03-27,3.00,3.05,2.99,3.00,120400,3.00
2015-03-26,3.01,3.03,3.00,3.01,166300,3.01
2015-03-25,3.04,3.06,3.01,3.01,105200,3.01
2015-03-24,3.07,3.07,3.01,3.04,153400,3.04
2015-03-23,3.13,3.13,3.09,3.10,76500,3.03
2015-03-20,3.10,3.11,3.07,3.11,420700,3.04
2015-03-19,3.09,3.10,3.03,3.07,121700,3.00
2015-03-18,3.08,3.11,3.06,3.10,106800,3.03
2015-03-17,3.08,3.10,3.05,3.07,72100,3.00
2015-03-16,3.05,3.13,3.05,3.08,190800,3.01
2015-03-13,2.99,3.10,2.99,3.03,264100,2.96
2015-03-12,2.90,3.12,2.90,2.97,212100,2.91
2015-03-11,2.90,2.92,2.85,2.86,141200,2.80
2015-03-10,2.93,2.95,2.88,2.90,83600,2.84
2015-03-09,2.98,2.98,2.90,2.93,65400,2.87
2015-03-06,2.99,3.00,2.94,2.98,86100,2.92
2015-03-05,2.95,2.99,2.95,2.96,26100,2.90
2015-03-04,2.92,2.98,2.92,2.95,126000,2.89
2015-03-03,3.07,3.07,2.91,2.95,310500,2.89
2015-03-02,3.10,3.10,3.02,3.06,229700,2.99
2015-02-27,3.13,3.13,3.07,3.07,153200,3.00
2015-02-26,3.10,3.13,3.09,3.13,100100,3.06
2015-02-25,3.10,3.11,3.09,3.09,61200,3.02
2015-02-24,3.12,3.12,3.09,3.09,78600,3.02
2015-02-23,3.14,3.14,3.09,3.09,69000,3.02
2015-02-20,3.12,3.14,3.09,3.09,138700,3.02
2015-02-19,3.10,3.14,3.09,3.11,107100,3.04
2015-02-18,3.10,3.14,3.08,3.10,84000,3.03
2015-02-17,3.10,3.10,3.10,3.10,000,3.03
2015-02-16,3.10,3.10,3.10,3.10,000,3.03
2015-02-13,3.14,3.14,3.08,3.10,120700,3.03
2015-02-12,3.11,3.15,3.09,3.14,169700,3.07
2015-02-11,3.11,3.14,3.07,3.14,39500,3.07
2015-02-10,3.10,3.14,3.06,3.14,194900,3.07
2015-02-09,3.13,3.13,3.08,3.09,43300,3.02
2015-02-06,3.09,3.13,3.06,3.13,50300,3.06
2015-02-05,3.09,3.11,3.08,3.08,15100,3.01
2015-02-04,3.11,3.14,3.06,3.06,318200,2.99
2015-02-03,3.11,3.15,3.01,3.10,297100,3.03
2015-02-02,3.06,3.09,3.04,3.08,82100,3.01
2015-01-30,3.10,3.12,3.07,3.08,41800,3.01
2015-01-29,3.10,3.11,3.05,3.08,70400,3.01
2015-01-28,3.09,3.12,3.07,3.10,50300,3.03
2015-01-27,3.14,3.14,3.09,3.10,122300,3.03
2015-01-26,3.12,3.14,3.10,3.14,23900,3.07
2015-01-23,3.14,3.16,3.10,3.10,42200,3.03
2015-01-22,3.14,3.15,3.11,3.14,107800,3.07
2015-01-21,3.18,3.20,3.13,3.13,46800,3.06
2015-01-20,3.15,3.20,3.13,3.18,36400,3.11
2015-01-19,3.15,3.15,3.10,3.14,84900,3.07
2015-01-16,3.13,3.14,3.10,3.14,73000,3.07
2015-01-15,3.10,3.11,3.08,3.11,16900,3.04
2015-01-14,3.10,3.12,3.05,3.09,91500,3.02
2015-01-13,3.11,3.18,3.07,3.10,73200,3.03
2015-01-12,3.13,3.20,3.05,3.11,68700,3.04
2015-01-09,3.11,3.12,3.09,3.11,83500,3.04
2015-01-08,3.19,3.25,3.05,3.11,131000,3.04
2015-01-07,3.18,3.18,3.13,3.17,63900,3.10
2015-01-06,3.08,3.21,3.08,3.18,98100,3.11
2015-01-05,3.30,3.33,3.03,3.05,268400,2.98
2015-01-02,3.26,3.36,3.24,3.24,65300,3.17
